"runCount","noiseLevel","distinctRunNo","decision","maximumSM","midpoint","slopeParam","maximumDSM","midPoint1Param","slope1Param","slope2Param","midPointDistanceParam","finalAsymptoteIntensityRatio","timeChoice","noiseType","maximumSMValue","slopeParamValue","midpointValue","mAError","realInput"
NA,0.6,1,"ambiguous",NA,NA,NA,NA,NA,NA,NA,NA,NA,"beta_2_2","multiplicative",11.3172560969368,0.145237257228432,15.8321735747159,NA,"sigmoidal"
NA,0.45,1,"ambiguous",NA,NA,NA,NA,NA,NA,NA,NA,NA,"beta_2_2","multiplicative",11.3172560969368,0.145237257228432,15.8321735747159,NA,"sigmoidal"
NA,0.3,1,"ambiguous",NA,NA,NA,NA,NA,NA,NA,NA,NA,"beta_2_2","multiplicative",11.3172560969368,0.145237257228432,15.8321735747159,NA,"sigmoidal"
NA,0.15,1,"ambiguous",NA,NA,NA,NA,NA,NA,NA,NA,NA,"beta_2_2","multiplicative",11.3172560969368,0.145237257228432,15.8321735747159,NA,"sigmoidal"
NA,0,1,"ambiguous",NA,NA,NA,NA,NA,NA,NA,NA,NA,"beta_2_2","multiplicative",11.3172560969368,0.145237257228432,15.8321735747159,NA,"sigmoidal"
NA,1.5,1,"ambiguous",NA,NA,NA,NA,NA,NA,NA,NA,NA,"beta_2_0.25","multiplicative",7.85047314427793,1.52256160880368,18.6470318846405,NA,"sigmoidal"
NA,1.35,1,"ambiguous",NA,NA,NA,NA,NA,NA,NA,NA,NA,"beta_2_0.25","multiplicative",7.85047314427793,1.52256160880368,18.6470318846405,NA,"sigmoidal"
NA,1.2,1,"ambiguous",NA,NA,NA,NA,NA,NA,NA,NA,NA,"beta_2_0.25","multiplicative",7.85047314427793,1.52256160880368,18.6470318846405,NA,"sigmoidal"
NA,1.05,1,"ambiguous",NA,NA,NA,NA,NA,NA,NA,NA,NA,"beta_2_0.25","multiplicative",7.85047314427793,1.52256160880368,18.6470318846405,NA,"sigmoidal"
NA,0.9,1,"double_sigmoidal",NA,NA,NA,15.8954048874339,21.108571749853,1.86324103911553,2.88503290115402,1.19997835222084,0.468515315703785,"beta_2_0.25","multiplicative",7.85047314427793,1.52256160880368,18.6470318846405,0.0972061523668968,"sigmoidal"
NA,0.75,1,"sigmoidal",7.87958327904945,14.1359599320087,6.00010824084844,NA,NA,NA,NA,NA,NA,"beta_2_0.25","multiplicative",7.85047314427793,1.52256160880368,18.6470318846405,0.00767827150109913,"sigmoidal"
NA,0.6,1,"sigmoidal",8.24855396727583,19.8052125669322,6.00010824084844,NA,NA,NA,NA,NA,NA,"beta_2_0.25","multiplicative",7.85047314427793,1.52256160880368,18.6470318846405,0.0500276613490258,"sigmoidal"
NA,0.45,1,"sigmoidal",7.68228455981919,19.5947639006403,6.00010824084844,NA,NA,NA,NA,NA,NA,"beta_2_0.25","multiplicative",7.85047314427793,1.52256160880368,18.6470318846405,0.0181511602523994,"sigmoidal"
NA,0.3,1,"sigmoidal",7.90742774419159,19.6308539072852,6.00010824084844,NA,NA,NA,NA,NA,NA,"beta_2_0.25","multiplicative",7.85047314427793,1.52256160880368,18.6470318846405,0.00867946996912666,"sigmoidal"
